Standard Report - Imports,,,
Current date: 11/21/2025 5:25 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2015,"287,095,354"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-15,"28,345,952"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-15,"17,863,734"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-15,"23,025,695"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-15,"23,543,381"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-15,"24,238,035"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-15,"25,110,094"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-15,"25,015,936"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-15,"26,922,800"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-15,"25,295,574"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-15,"24,728,868"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-15,"22,691,120"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-15,"20,314,165"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2016,"271,530,274"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-16,"23,289,325"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-16,"20,988,275"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-16,"23,128,506"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-16,"22,970,244"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-16,"22,714,121"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-16,"20,965,583"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-16,"23,264,257"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-16,"22,096,733"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-16,"22,638,227"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-16,"23,233,509"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-16,"22,368,366"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-16,"23,873,128"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2017,"289,042,664"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-17,"20,676,138"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-17,"19,559,474"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-17,"23,489,490"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-17,"26,770,157"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-17,"22,823,760"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-17,"25,692,844"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-17,"24,655,937"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-17,"26,506,742"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-17,"25,613,308"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-17,"25,761,231"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-17,"24,857,199"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-17,"22,636,384"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2018,"342,940,195"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-18,"29,140,242"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-18,"22,828,719"
