date,country,imports,industry
2015-01-01,Canada,19.224346,Appliances
2015-02-01,Canada,20.43761,Appliances
2015-03-01,Canada,21.314559,Appliances
2015-04-01,Canada,27.340492,Appliances
2015-05-01,Canada,21.703438,Appliances
2015-06-01,Canada,28.563712,Appliances
2015-07-01,Canada,22.976292,Appliances
2015-08-01,Canada,25.537874,Appliances
2015-09-01,Canada,20.736317,Appliances
2015-10-01,Canada,22.859847,Appliances
2015-11-01,Canada,21.74563,Appliances
2015-12-01,Canada,19.928551,Appliances
2016-01-01,Canada,20.127259,Appliances
2016-02-01,Canada,20.123818,Appliances
2016-03-01,Canada,27.292295,Appliances
2016-04-01,Canada,29.113681,Appliances
2016-05-01,Canada,25.17484,Appliances
2016-06-01,Canada,22.392475,Appliances
2016-07-01,Canada,19.482155,Appliances
2016-08-01,Canada,18.15705,Appliances
2016-09-01,Canada,21.070276,Appliances
2016-10-01,Canada,24.735783,Appliances
2016-11-01,Canada,28.614946,Appliances
2016-12-01,Canada,14.824759,Appliances
2017-01-01,Canada,19.005534,Appliances
2017-02-01,Canada,21.371879,Appliances
2017-03-01,Canada,25.518058,Appliances
2017-04-01,Canada,32.805077,Appliances
2017-05-01,Canada,29.376076,Appliances
2017-06-01,Canada,27.468726,Appliances
2017-07-01,Canada,27.051642,Appliances
2017-08-01,Canada,29.27654,Appliances
2017-09-01,Canada,24.312466,Appliances
2017-10-01,Canada,24.449286,Appliances
2017-11-01,Canada,22.025268,Appliances
2017-12-01,Canada,18.479072,Appliances
2018-01-01,Canada,18.990051,Appliances
2018-02-01,Canada,23.416736,Appliances
2018-03-01,Canada,33.861554,Appliances
2018-04-01,Canada,23.792767,Appliances
2018-05-01,Canada,31.792329,Appliances
2018-06-01,Canada,26.680672,Appliances
2018-07-01,Canada,27.567086,Appliances
2018-08-01,Canada,31.100613,Appliances
2018-09-01,Canada,26.058976,Appliances
2018-10-01,Canada,30.063588,Appliances
2018-11-01,Canada,18.997256,Appliances
2018-12-01,Canada,23.26076,Appliances
2019-01-01,Canada,25.454254,Appliances
2019-02-01,Canada,24.128918,Appliances
2019-03-01,Canada,33.280219,Appliances
2019-04-01,Canada,21.916129,Appliances
2019-05-01,Canada,33.292939,Appliances
2019-06-01,Canada,33.018605,Appliances
2019-07-01,Canada,26.686395,Appliances
2019-08-01,Canada,26.164919,Appliances
2019-09-01,Canada,26.181774,Appliances
2019-10-01,Canada,24.49178,Appliances
2019-11-01,Canada,20.392827,Appliances
2019-12-01,Canada,19.007922,Appliances
2020-01-01,Canada,27.222034,Appliances
2020-02-01,Canada,29.568242,Appliances
2020-03-01,Canada,33.573184,Appliances
2020-04-01,Canada,19.709503,Appliances
2020-05-01,Canada,21.056259,Appliances
2020-06-01,Canada,32.764669,Appliances
2020-07-01,Canada,26.344358,Appliances
2020-08-01,Canada,24.616207,Appliances
2020-09-01,Canada,22.896092,Appliances
2020-10-01,Canada,23.041837,Appliances
2020-11-01,Canada,25.721025,Appliances
2020-12-01,Canada,17.00031,Appliances
2021-01-01,Canada,21.600547,Appliances
2021-02-01,Canada,24.120333,Appliances
2021-03-01,Canada,32.199468,Appliances
2021-04-01,Canada,28.06642,Appliances
2021-05-01,Canada,28.602147,Appliances
2021-06-01,Canada,24.583203,Appliances
2021-07-01,Canada,35.761455,Appliances
2021-08-01,Canada,29.563621,Appliances
2021-09-01,Canada,34.04405,Appliances
2021-10-01,Canada,30.329836,Appliances
2021-11-01,Canada,32.064978,Appliances
2021-12-01,Canada,29.644357,Appliances
2022-01-01,Canada,32.168139,Appliances
2022-02-01,Canada,36.001024,Appliances
2022-03-01,Canada,39.451608,Appliances
2022-04-01,Canada,45.346292,Appliances
2022-05-01,Canada,42.31194,Appliances
2022-06-01,Canada,46.068066,Appliances
2022-07-01,Canada,33.620081,Appliances
2022-08-01,Canada,36.798832,Appliances
2022-09-01,Canada,39.132612,Appliances
2022-10-01,Canada,56.057618,Appliances
2022-11-01,Canada,45.250682,Appliances
2022-12-01,Canada,41.652438,Appliances
2023-01-01,Canada,43.492732,Appliances
2023-02-01,Canada,50.849955,Appliances
2023-03-01,Canada,47.784231,Appliances
2023-04-01,Canada,43.148934,Appliances
2023-05-01,Canada,50.669856,Appliances
2023-06-01,Canada,49.596828,Appliances
2023-07-01,Canada,41.209774,Appliances
2023-08-01,Canada,34.915166,Appliances
2023-09-01,Canada,43.622166,Appliances
2023-10-01,Canada,45.200766,Appliances
2023-11-01,Canada,33.726734,Appliances
2023-12-01,Canada,34.238408,Appliances
2024-01-01,Canada,39.248286,Appliances
