date,country,imports
2015-01-01,Brazil,28.345952
2015-02-01,Brazil,17.863734
2015-03-01,Brazil,23.025695
2015-04-01,Brazil,23.543381
2015-05-01,Brazil,24.238035
2015-06-01,Brazil,25.110094
2015-07-01,Brazil,25.015936
2015-08-01,Brazil,26.9228
2015-09-01,Brazil,25.295574
2015-10-01,Brazil,24.728868
2015-11-01,Brazil,22.69112
2015-12-01,Brazil,20.314165
2016-01-01,Brazil,23.289325
2016-02-01,Brazil,20.988275
2016-03-01,Brazil,23.128506
2016-04-01,Brazil,22.970244
2016-05-01,Brazil,22.714121
2016-06-01,Brazil,20.965583
2016-07-01,Brazil,23.264257
2016-08-01,Brazil,22.096733
2016-09-01,Brazil,22.638227
2016-10-01,Brazil,23.233509
2016-11-01,Brazil,22.368366
2016-12-01,Brazil,23.873128
2017-01-01,Brazil,20.676138
2017-02-01,Brazil,19.559474
2017-03-01,Brazil,23.48949
2017-04-01,Brazil,26.770157
2017-05-01,Brazil,22.82376
2017-06-01,Brazil,25.692844
2017-07-01,Brazil,24.655937
2017-08-01,Brazil,26.506742
2017-09-01,Brazil,25.613308
2017-10-01,Brazil,25.761231
2017-11-01,Brazil,24.857199
2017-12-01,Brazil,22.636384
2018-01-01,Brazil,29.140242
2018-02-01,Brazil,22.828719
2018-03-01,Brazil,30.163457
2018-04-01,Brazil,30.453748
2018-05-01,Brazil,26.760986
2018-06-01,Brazil,18.203356
2018-07-01,Brazil,31.047119
2018-08-01,Brazil,33.238008
2018-09-01,Brazil,31.277763
2018-10-01,Brazil,26.130076
2018-11-01,Brazil,31.577825
2018-12-01,Brazil,32.118896
2019-01-01,Brazil,28.893837
2019-02-01,Brazil,24.941392
2019-03-01,Brazil,30.511548
2019-04-01,Brazil,27.620169
2019-05-01,Brazil,28.933726
2019-06-01,Brazil,26.377517
2019-07-01,Brazil,25.90042
2019-08-01,Brazil,25.473437
2019-09-01,Brazil,25.788332
2019-10-01,Brazil,25.880643
2019-11-01,Brazil,23.250222
2019-12-01,Brazil,19.708422
2020-01-01,Brazil,20.502058
2020-02-01,Brazil,18.422623
2020-03-01,Brazil,21.508355
2020-04-01,Brazil,18.67105
2020-05-01,Brazil,10.565939
2020-06-01,Brazil,9.150562
2020-07-01,Brazil,14.82478
2020-08-01,Brazil,19.641831
2020-09-01,Brazil,19.629124
2020-10-01,Brazil,21.745221
2020-11-01,Brazil,23.426606
2020-12-01,Brazil,22.269973
2021-01-01,Brazil,20.425602
2021-02-01,Brazil,20.895654
2021-03-01,Brazil,22.207826
2021-04-01,Brazil,22.906989
2021-05-01,Brazil,22.585388
2021-06-01,Brazil,21.614456
2021-07-01,Brazil,23.258929
2021-08-01,Brazil,18.797819
2021-09-01,Brazil,19.773605
2021-10-01,Brazil,21.457992
2021-11-01,Brazil,26.950546
2021-12-01,Brazil,25.391396
2022-01-01,Brazil,22.178811
2022-02-01,Brazil,17.734895
2022-03-01,Brazil,19.84306
2022-04-01,Brazil,23.100039
2022-05-01,Brazil,20.510052
2022-06-01,Brazil,27.915762
2022-07-01,Brazil,19.046981
2022-08-01,Brazil,25.63879
2022-09-01,Brazil,26.305984
2022-10-01,Brazil,34.310955
2022-11-01,Brazil,30.192836
2022-12-01,Brazil,27.455871
2023-01-01,Brazil,22.834379
2023-02-01,Brazil,20.760894
2023-03-01,Brazil,21.287307
2023-04-01,Brazil,28.163326
2023-05-01,Brazil,24.99036
2023-06-01,Brazil,20.862781
2023-07-01,Brazil,27.121842
2023-08-01,Brazil,31.816448
2023-09-01,Brazil,23.971062
2023-10-01,Brazil,26.970403
2023-11-01,Brazil,21.731367
2023-12-01,Brazil,20.799197
2024-01-01,Brazil,28.028484
2024-02-01,Brazil,22.708417
2024-03-01,Brazil,25.21104
2024-04-01,Brazil,24.482702
2024-05-01,Brazil,22.496215
2024-06-01,Brazil,21.956886
2024-07-01,Brazil,22.456585
2024-08-01,Brazil,28.162596
2024-09-01,Brazil,29.656374
2024-10-01,Brazil,22.997734
2024-11-01,Brazil,29.456874
2024-12-01,Brazil,24.10716
2025-01-01,Brazil,27.7751
2025-02-01,Brazil,21.607875
2025-03-01,Brazil,26.081583
2025-04-01,Brazil,21.605642
