date,country,imports,year,month,quarter,treatment,control_group,post_tariff,post_2018,post_2019,post_2025,tariff_period,log_imports,did_term
2015-01-01,China,38589.696731000004,2015,1,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.560740595754995,0
2015-02-01,China,31563.988155,2015,2,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.35977213437156,0
2015-03-01,China,41136.91753,2015,3,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.624661234050777,0
2015-04-01,China,36121.394467,2015,4,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.4946406132918,0
2015-05-01,China,39082.029905,2015,5,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.573418047105616,0
2015-06-01,China,41453.839795,2015,6,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.632335793064234,0
2015-07-01,China,41215.078176,2015,7,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.626559443530681,0
2015-08-01,China,44138.055272,2015,8,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.695077620661614,0
2015-09-01,China,45724.951242,2015,9,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.73039940692717,0
2015-10-01,China,44309.93252,2015,10,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.698964141285582,0
2015-11-01,China,41884.774152,2015,11,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.642677654475962,0
2015-12-01,China,37980.997419,2015,12,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.544841245711808,0
2016-01-01,China,37126.43412,2016,1,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.52208450485385,0
2016-02-01,China,36066.892525,2016,2,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.493130618952641,0
2016-03-01,China,29812.326908,2016,3,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.302677241592878,0
2016-04-01,China,32920.204539,2016,4,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.401841867985556,0
2016-05-01,China,37513.726589,2016,5,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.53246218735467,0
2016-06-01,China,38539.190214,2016,6,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.55943093017522,0
2016-07-01,China,39438.857738,2016,7,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.582506846278909,0
2016-08-01,China,43221.774205,2016,8,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.674099679773624,0
2016-09-01,China,42020.928547,2016,9,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.645923071894012,0
2016-10-01,China,43798.098424,2016,10,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.687345680444912,0
2016-11-01,China,42602.631733,2016,11,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.659671308119247,0
2016-12-01,China,39358.926061,2016,12,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.580478065758378,0
2017-01-01,China,41335.553396,2017,1,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.629478265670219,0
2017-02-01,China,32784.957412,2017,2,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.397725073688184,0
2017-03-01,China,34161.993661,2017,3,1,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.438869008640937,0
2017-04-01,China,37441.870879,2017,4,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.530544899401827,0
2017-05-01,China,41756.844722,2017,5,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.639618662278544,0
2017-06-01,China,42258.078621,2017,6,2,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.651550824471522,0
2017-07-01,China,43561.110857,2017,7,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.681920078489409,0
2017-08-01,China,45782.311949,2017,8,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.731653093520183,0
2017-09-01,China,45405.051275,2017,9,3,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.723378639404208,0
2017-10-01,China,48133.149629,2017,10,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.781726400193447,0
2017-11-01,China,48104.793415,2017,11,4,1,0,0,0,0,0,Pre-Tariff (2015-2017),10.781137106326108,0
